customer_id,annual_income_k,spending_score
1,32.9,22.1
2,32,43.1
3,25.4,17.8
4,43.3,22.1
5,18.3,23.4
6,26,32.2
7,28.9,26.4
8,26.8,6.8
9,21.8,26.9
10,16.8,26.3
11,30.3,14.1
12,31.8,21.5
13,19,27.3
14,22.3,15.7
15,17,8.8
16,39.1,27.1
17,16.7,2
18,23.3,31.3
19,32.6,17
20,29.4,7.2
21,23.6,25.7
22,28.6,4.9
23,23.8,26.8
24,26.8,7.3
25,14.9,31
26,14.2,19.2
27,30.6,27.3
28,22.2,22.4
29,23,26.7
30,32.6,14.7
31,14,26.3
32,20.8,18.6
33,26.8,12.7
34,23.8,9.9
35,23.5,23.5
36,32.8,32.8
37,19.3,22.1
38,23.4,10.6
39,25.9,17.9
40,14.9,27.4
41,33.5,20.4
42,7,13.2
43,31.2,23.7
44,7.8,22.6
45,31.6,8.2
46,23,30.2
47,15.7,19.2
48,28.2,28.3
49,32.7,27
50,12.1,14.8
51,29.4,12.2
52,12.9,20.3
53,27.1,28.3
54,25.8,23.6
55,19.2,31
56,19.5,22.1
57,27.4,14.1
58,24.2,11.9
59,38.9,18.5
60,22.5,31.5
61,24.2,26.9
62,24.1,14
63,29.5,23.8
64,38.3,20.9
65,26.4,7.4
66,20.5,24.6
67,29.2,14.9
68,32.6,12.7
69,24.8,9.5
70,34.6,31
71,24.7,26.7
72,36.4,19
73,28.7,32.2
74,7.1,18
75,17.1,20.8
76,39.7,84.5
77,44.4,74.8
78,56.5,87.4
79,58.6,72.4
80,61.1,86.2
81,51.5,78.6
82,59.2,70.8
83,53.5,65.7
84,57.3,78.7
85,55.4,65
86,51.8,77.5
87,48.3,73.2
88,63.2,89.7
89,57.5,77.4
90,59.3,75.9
91,59.2,74.8
92,56.1,81.1
93,49,90.8
94,60.5,74
95,43.7,86.7
96,62.4,82.5
97,48,69.6
98,57,80
99,45.3,71.9
100,56.1,95
101,65.4,94.6
102,47,77.5
103,51.6,66.8
104,55.7,67.3
105,58.7,82
106,70.2,71.6
107,59.3,74.5
108,59,66.5
109,53.9,78.6
110,54.6,89.5
111,46,90.2
112,53.7,87.1
113,60.8,66.1
114,59.6,80.1
115,42,74.8
116,55.6,74.2
117,57.9,84.4
118,59.6,65
119,50.3,70
120,59.4,59.7
121,51.5,70.3
122,63.5,78.5
123,53.8,81.1
124,49.7,62.3
125,54.3,75.4
126,56.1,87.9
127,58.3,68.9
128,59.1,72.8
129,56.7,71.7
130,47,75.8
131,55.6,81.2
132,46.5,74.2
133,55.4,76.4
134,52.5,75.9
135,59.6,71.4
136,57.8,70.7
137,44.1,70.3
138,56.3,76.5
139,57.8,86.1
140,64.8,79.6
141,55.3,79.3
142,56.6,82.6
143,44.5,66
144,40.4,83.1
145,49.7,68.9
146,49.4,76.5
147,65.2,81.9
148,60.5,67.2
149,62,55.3
150,56.6,75.1
151,96.5,26.1
152,79.7,19.8
153,89.3,24.6
154,94,33.9
155,85.7,22.7
156,88,5.6
157,81.6,21.6
158,98.9,19.1
159,79.9,34.6
160,86.4,24.3
161,90.4,16.8
162,80.3,25.7
163,83.7,30.5
164,76.5,33.1
165,81.5,14.5
166,85,46.5
167,81.4,28.7
168,87.1,23
169,81.1,29.9
170,85.6,25.9
171,84.4,20.6
172,72.4,14.3
173,79,32.6
174,79.8,21.1
175,90.1,32.9
176,79.5,24
177,86.7,41.8
178,86.3,32
179,79.1,26.9
180,74.5,27.4
181,80.1,47.8
182,77.9,34.4
183,90.6,35.9
184,105.3,41
185,92.5,26.8
186,82.1,30.4
187,80.3,15
188,77.1,27.6
189,87.1,33.3
190,80.4,33.9
191,80,28.5
192,89.8,9.4
193,90.9,22.7
194,86.4,29
195,98.2,26.1
196,79.3,24.6
197,83.6,15.7
198,82.8,31
199,88.2,44
200,86.7,25.7
201,100.5,30.1
202,74.9,24.2
203,82.5,41.1
204,90.9,36.7
205,91.1,37.4
206,93.9,27.5
207,94.3,48.4
208,88.1,30.5
209,81.9,14.3
210,85.4,20.9
211,94.5,21.2
212,73,26.1
213,93.7,32.6
214,89.5,17.2
215,82.7,34.4
216,80.1,25
217,94.6,24.6
218,82.3,28.2
219,80.4,30.3
220,79.4,24.5
221,81.9,12.9
222,83.2,22.1
223,83.8,22.3
224,89.7,16.8
225,83.6,19.8
226,41.6,29.9
227,41.8,50.6
228,49.1,48.6
229,35,44.3
230,52.7,50.2
231,49.4,56.7
232,38.5,54.3
233,49.8,62.1
234,38.8,69.5
235,32.5,34.6
236,51.9,49.9
237,51.4,52.4
238,32.4,59.6
239,42.9,49.5
240,50.8,34.1
241,43.7,64.2
242,45.9,53.8
243,25.4,39.6
244,47.1,39.9
245,53.4,46.2
246,52.3,56.9
247,52.7,52.8
248,36.5,41.2
249,38.4,60.9
250,33,60.6
251,36.9,55.7
252,40.7,50.7
253,44,39.9
254,61.6,41.8
255,42.9,45.2
