employee_id,age,monthly_income_k,years_at_company,job_satisfaction,attrition
1,25,38.2,3,1,No
2,30,47.5,8,2,No
3,27,69.7,5,2,No
4,34,53.4,0,4,No
5,45,79.6,0,1,No
6,21,74,0,5,No
7,22,70.9,11,2,No
8,36,38.7,4,3,No
9,24,90.9,2,4,No
10,32,37,9,3,No
11,24,52.4,4,3,No
12,27,48.1,10,2,No
13,40,70.3,4,4,No
14,39,99.4,4,4,No
15,28,29.1,14,3,No
16,24,82.8,0,2,No
17,53,71.6,8,2,No
18,49,58.3,0,5,No
19,32,57.4,7,2,No
20,30,64.7,6,5,No
21,37,28.3,9,5,No
22,35,61.5,5,1,No
23,47,34.7,5,2,No
24,22,73.7,0,5,No
25,36,39.1,2,4,No
26,21,69.2,6,5,No
27,39,59,4,4,No
28,29,54.6,12,5,No
29,28,55.5,9,4,No
30,37,34.5,1,2,Yes
31,31,16.1,7,5,No
32,32,32.5,0,4,No
33,38,85.1,9,5,No
34,21,63.8,2,5,No
35,49,55.3,9,5,No
36,41,45.8,3,2,No
37,44,34.7,0,2,No
38,48,38.4,12,4,No
39,47,29.5,2,5,No
40,26,21.9,5,3,No
41,41,53.8,1,3,Yes
42,26,44.5,5,3,No
43,35,56.9,5,5,Yes
44,21,32.2,3,4,No
45,26,24.4,7,3,No
46,40,37.8,9,4,No
47,32,85.3,8,3,No
48,32,35.7,12,5,Yes
49,32,55.1,17,5,No
50,31,57.7,11,4,No
51,45,72.5,7,3,No
52,30,37.1,0,3,No
53,35,50.8,9,2,Yes
54,37,41.1,6,2,No
55,35,73.1,1,2,Yes
56,28,42.9,2,4,No
57,28,43.2,7,3,No
58,21,19.7,7,2,No
59,43,15,5,2,No
60,31,77.6,1,3,No
61,38,26,8,1,No
62,39,81.6,4,5,No
63,29,41.2,2,4,No
64,38,40.9,5,4,No
65,21,38.1,6,1,No
66,43,54.6,3,3,No
67,51,67.7,4,3,No
68,33,74.4,4,1,No
69,36,69.8,0,4,No
70,40,39.3,9,4,No
71,40,75.8,7,1,No
72,24,23.7,3,2,Yes
73,39,98,11,4,No
74,42,46.7,5,3,No
75,35,42,5,1,No
76,44,72.2,6,2,Yes
77,36,80.8,12,3,No
78,23,68.1,7,3,Yes
79,30,40.2,8,3,No
80,22,53.4,2,4,Yes
81,36,49.8,11,3,No
82,54,44.6,4,3,No
83,40,89.1,12,4,No
84,31,64.5,4,2,No
85,36,36,0,3,No
86,43,59.7,7,4,No
87,32,33.6,8,3,No
88,42,50.6,3,3,No
89,41,75.2,0,3,No
90,37,46.5,4,5,No
91,28,32,8,4,No
92,36,66,1,5,No
93,41,63.7,2,3,No
94,29,38.5,5,3,No
95,58,57.4,11,4,No
96,40,78.1,4,4,No
97,39,57.5,7,3,No
98,22,73.8,7,3,No
99,60,62.7,17,4,No
100,34,62.7,8,5,No
101,33,80.8,8,2,No
102,30,30.8,0,4,Yes
103,26,40.8,6,5,No
104,43,78.1,0,3,Yes
105,21,53.7,9,5,No
106,60,69.3,3,4,No
107,39,45.4,7,3,No
108,45,75.6,0,2,No
109,21,83.7,3,4,No
110,41,46.3,2,3,No
111,32,41.6,5,3,No
112,29,73,8,5,No
113,41,82.8,5,2,No
114,32,107.3,3,4,No
115,36,63.4,13,5,No
116,41,74,0,2,No
117,39,52.9,0,4,No
118,38,25.8,10,4,No
119,26,94.8,0,4,No
120,30,31.9,0,3,Yes
121,31,114.7,5,4,No
122,33,56.1,0,4,No
123,23,77.7,4,5,No
124,37,64.3,0,1,No
125,21,62.5,5,4,No
126,38,37.6,0,3,No
127,41,32.3,11,5,No
128,37,52.8,4,4,No
129,35,46.8,1,4,No
130,40,36.3,3,3,No
131,21,48.8,5,3,No
132,26,51,6,3,Yes
133,46,28.9,7,2,Yes
134,43,64.5,11,4,No
135,35,50.8,0,1,No
136,26,55.6,7,4,No
137,22,15,7,1,No
138,49,65.2,9,4,No
139,37,44.8,0,3,No
140,21,66.6,4,5,No
141,43,57.4,5,3,No
142,30,78.2,2,4,No
143,34,66.7,10,3,Yes
144,34,39.1,9,2,No
145,32,35.3,5,3,No
146,28,75.8,5,2,Yes
147,29,60.4,10,3,No
148,29,33.5,7,5,No
149,36,57.8,0,2,Yes
150,32,59.4,0,5,Yes
151,26,38.9,0,3,No
152,44,28.6,6,2,No
153,40,15,5,4,No
154,29,50.3,4,4,No
155,23,94.7,3,4,No
156,28,41.9,3,3,No
157,36,15,1,3,No
158,31,24.6,1,5,No
159,38,54.8,8,2,No
160,21,26.9,1,5,No
161,25,50.1,6,3,No
162,45,30.6,7,5,No
163,21,60.9,4,3,No
164,45,73.3,6,4,No
165,34,43.4,4,5,No
166,49,71.6,8,4,No
167,27,27,8,4,No
168,26,51.2,4,4,No
169,31,45.7,5,1,No
170,48,71.5,6,4,No
171,28,70.3,3,3,No
172,24,75.5,5,3,No
173,42,44.8,6,3,No
174,29,40.2,1,2,No
175,28,57.2,2,2,No
176,41,46.7,8,4,No
177,31,118.2,9,4,No
178,47,59,2,4,Yes
179,27,43.3,0,3,No
180,28,77.7,7,4,No
181,35,42.2,3,3,No
182,51,44,0,3,No
183,37,30.8,0,4,Yes
