student_id,subject,hours_studied,score,result
1,Biology,4.3,72.1,Pass
2,Biology,3.4,62.8,Pass
3,Biology,1.5,38,Fail
4,Math,3.7,62.1,Pass
5,English,8.6,100,Pass
6,English,3.2,56.2,Pass
7,Chemistry,8,100,Pass
8,Math,5.2,100,Pass
9,Math,4.5,57.8,Pass
10,Math,6.3,73.4,Pass
11,English,3.9,62.3,Pass
12,Biology,7.4,90.5,Pass
13,Chemistry,7.7,86.1,Pass
14,Physics,10.9,99.6,Pass
15,Biology,6,80.5,Pass
16,Biology,4.5,66.7,Pass
17,Physics,1.9,39.9,Fail
18,English,5.7,62.8,Pass
19,Physics,3.7,59.7,Pass
20,Math,6.8,84.6,Pass
21,Biology,3.4,64.7,Pass
22,Math,6.7,89.5,Pass
23,Chemistry,5.7,64.3,Pass
24,Biology,3.9,71.8,Pass
25,English,5.4,62.4,Pass
26,Chemistry,4.2,78.1,Pass
27,Chemistry,5.7,74.6,Pass
28,English,9,100,Pass
29,Physics,4.8,65,Pass
30,Chemistry,6.1,64.5,Pass
31,English,4.1,66.5,Pass
32,Physics,7.2,98.5,Pass
33,Physics,7.6,94.3,Pass
34,Math,4.2,66,Pass
35,Physics,6.1,74.3,Pass
36,English,1,24.8,Fail
37,Physics,4.1,70.3,Pass
38,Biology,8.8,96.4,Pass
39,Math,5.7,65.7,Pass
40,Chemistry,1.2,51,Pass
41,Math,3.4,75.4,Pass
42,Chemistry,3.7,53.9,Pass
43,Chemistry,6.4,86.6,Pass
44,Biology,3.3,57.6,Pass
45,Math,7.9,78.5,Pass
46,Chemistry,3.3,35.7,Fail
47,Biology,1.8,47.4,Fail
48,Math,5.5,60.1,Pass
49,Chemistry,0,32.5,Fail
50,Math,10.9,100,Pass
51,Chemistry,5.2,74.5,Pass
52,Biology,1.5,51.6,Pass
53,Chemistry,8,100,Pass
54,English,3.5,58.1,Pass
55,Math,3.4,61.6,Pass
56,Math,5.1,61.9,Pass
57,Physics,3.8,64.2,Pass
58,Math,3.3,65.8,Pass
59,Math,7.7,96.2,Pass
60,Math,8.4,94.8,Pass
61,Physics,6.5,70.6,Pass
62,Chemistry,2.3,51.8,Pass
63,English,7.5,82.9,Pass
64,Physics,5.3,77.6,Pass
65,English,6.2,86.8,Pass
66,Physics,1.1,34.4,Fail
67,Chemistry,3.7,52.3,Pass
68,Math,5.7,83.4,Pass
69,Biology,4.6,62.6,Pass
70,Biology,4.4,53.8,Pass
71,English,8.7,94.3,Pass
72,Chemistry,7.2,79.5,Pass
73,Math,3.6,75.5,Pass
74,Biology,4.5,59.9,Pass
75,Physics,6.7,76.5,Pass
76,Biology,5.3,63,Pass
77,English,6,73.4,Pass
78,English,3.6,65.1,Pass
79,Chemistry,7.8,90.8,Pass
80,Biology,6.7,78.9,Pass
81,Chemistry,2.6,64.9,Pass
82,Math,5.4,84.8,Pass
83,Physics,1.4,42.9,Fail
84,Biology,4.2,77.4,Pass
85,Physics,6.3,90.4,Pass
86,Physics,3.2,35.1,Fail
87,Chemistry,5.9,65.2,Pass
88,Chemistry,6.1,81.2,Pass
89,Math,5.9,82.6,Pass
90,English,2.1,51.5,Pass
91,English,5.5,83.1,Pass
92,Math,4.8,67.7,Pass
93,Chemistry,2,41.1,Fail
94,Math,4.5,56.4,Pass
95,Biology,4.2,75.8,Pass
96,Math,2.8,37,Fail
97,Chemistry,8.1,89.1,Pass
98,English,4.8,80.9,Pass
99,Biology,6.9,68.3,Pass
100,Physics,6.7,78,Pass
101,Math,4.1,70.7,Pass
102,Physics,6.9,100,Pass
103,Math,2.8,61.1,Pass
104,Biology,1.5,43.5,Fail
105,Math,6.3,77.1,Pass
106,Physics,3.5,61.3,Pass
107,Math,3.7,66,Pass
108,English,8.3,99.2,Pass
109,English,3.9,65.6,Pass
110,Physics,3,55.7,Pass
111,Biology,6.4,90.1,Pass
112,Biology,5.4,74,Pass
113,Math,3.3,64,Pass
114,Chemistry,5.2,64.4,Pass
115,Biology,4.4,60.6,Pass
116,Math,3.8,48.4,Fail
117,Biology,5.1,63.6,Pass
118,Physics,6.6,100,Pass
119,English,3.2,58.4,Pass
120,Physics,6.4,92.7,Pass
121,Math,8.1,100,Pass
122,Chemistry,6.8,92.6,Pass
123,Physics,3.4,76.4,Pass
124,English,7.5,100,Pass
125,Chemistry,1.6,46.3,Fail
126,Math,4.3,67.6,Pass
127,Chemistry,3.8,57.4,Pass
128,Biology,3.3,63,Pass
129,English,5.2,77.6,Pass
130,English,2.3,52.7,Pass
131,Physics,3,52.9,Pass
132,Chemistry,7.6,90.2,Pass
133,English,4.2,61.8,Pass
134,English,8,95.3,Pass
135,English,7.3,85.1,Pass
136,Chemistry,4.7,54,Pass
137,Math,5.6,78.6,Pass
138,Biology,3.4,68,Pass
139,Biology,0.4,50.9,Pass
140,English,5.7,74.6,Pass
141,Math,5.9,76.6,Pass
142,English,3.9,77.6,Pass
143,English,2.2,48.7,Fail
144,English,10.1,100,Pass
145,English,4.9,71.3,Pass
146,Biology,7.1,87.7,Pass
147,Math,2.4,61.4,Pass
148,Math,8.3,100,Pass
149,Math,2.9,56,Pass
150,Math,6.2,65.5,Pass
151,English,6.2,81.3,Pass
152,Chemistry,4.1,51.7,Pass
153,Math,5.7,68.9,Pass
154,English,5.9,73.5,Pass
155,Math,4.9,57.1,Pass
156,Math,6.5,90.1,Pass
157,Math,2.6,54.5,Pass
158,Chemistry,6.2,84.2,Pass
159,Math,3.4,60.1,Pass
160,Physics,3.7,56.4,Pass
161,Physics,8.6,94.8,Pass
162,English,4.1,64.9,Pass
163,Chemistry,4.1,50.7,Pass
164,Biology,4.5,53.3,Pass
165,English,5.2,77.5,Pass
166,Biology,4.1,59.2,Pass
167,Math,3.9,61.3,Pass
168,English,7.8,96.1,Pass
169,Math,4.2,71.8,Pass
170,Physics,4.3,62.4,Pass
171,Physics,5.7,85.9,Pass
172,Chemistry,4.7,66.8,Pass
173,Math,0,37.8,Fail
174,Chemistry,4.6,67,Pass
175,Physics,7,95.8,Pass
176,Math,3.2,65,Pass
177,Biology,0.4,36.5,Fail
178,Physics,9.5,100,Pass
179,English,6.1,85.1,Pass
180,Biology,9.5,100,Pass
181,English,2.6,52.7,Pass
182,Math,5.3,63.7,Pass
183,Math,7.2,86.8,Pass
184,Math,4.4,69.5,Pass
185,Biology,2.9,49.4,Fail
186,Biology,9.1,92.4,Pass
187,English,7.6,86.9,Pass
188,Physics,4.7,67.7,Pass
189,Math,3,47.1,Fail
190,Physics,1.3,58.2,Pass
191,Physics,7.2,90,Pass
192,Math,3,48.8,Fail
193,Chemistry,6.5,78.7,Pass
194,Biology,0,49.6,Fail
195,Physics,2.2,37.9,Fail
196,English,5.8,81.4,Pass
197,Math,1.4,39.2,Fail
198,Math,0,33.6,Fail
199,English,4.3,67.7,Pass
200,English,7.9,100,Pass
201,Chemistry,8.1,84.2,Pass
202,Physics,7.2,94.6,Pass
203,English,0.4,42.3,Fail
204,Physics,5.3,75,Pass
205,English,3.6,54.3,Pass
206,Biology,2.7,58.4,Pass
207,Physics,3.1,59.6,Pass
208,Chemistry,6,73.3,Pass
209,English,6.8,78.4,Pass
210,English,0,18.5,Fail
211,Math,3.8,53.6,Pass
212,Biology,3.5,45.3,Fail
213,English,1.9,66,Pass
214,Biology,11,100,Pass
215,Chemistry,6.3,94,Pass
216,Biology,4.1,62.8,Pass
217,English,1,42.2,Fail
218,English,4.1,76.6,Pass
219,Math,7.5,91.8,Pass
220,English,5.2,68.3,Pass
221,Biology,2.5,65.9,Pass
222,Chemistry,6.3,76.4,Pass
223,English,5.1,71.5,Pass
224,Chemistry,5.7,70.6,Pass
225,Chemistry,6.4,89.5,Pass
226,Physics,7.5,99.4,Pass
227,Math,4,68.2,Pass
228,English,2.3,43.6,Fail
229,Physics,7.7,98.7,Pass
230,Chemistry,7.6,83.6,Pass
231,Chemistry,4.9,76.7,Pass
232,Physics,6.1,90.5,Pass
233,English,4.7,71.6,Pass
234,Biology,3.3,63.9,Pass
235,Biology,6.9,85.7,Pass
236,Biology,3.7,50.8,Pass
237,English,6,73.8,Pass
238,English,7.5,87.1,Pass
239,Physics,3.4,45.1,Fail
240,Chemistry,4.3,48.5,Fail
241,English,6.7,72.6,Pass
242,Biology,8.4,92.5,Pass
243,Math,4.1,62.9,Pass
244,Math,5.4,70,Pass
245,Math,4.8,78.8,Pass
246,Physics,4.8,66.1,Pass
247,Chemistry,7,87,Pass
248,Biology,5.8,86,Pass
249,Physics,3.1,35,Fail
250,Math,7.1,80.6,Pass
251,Physics,4.6,67.5,Pass
252,Math,7.8,100,Pass
253,Math,5,55.7,Pass
254,Biology,6.2,71.3,Pass
255,Biology,4.3,63,Pass
256,Physics,6.6,76.8,Pass
257,Physics,4,75.2,Pass
258,Math,7,78.6,Pass
259,English,4.8,65.4,Pass
260,Physics,4.1,60,Pass
261,Math,2.8,57.8,Pass
262,Math,6.4,61.1,Pass
263,English,2.4,44.6,Fail
264,English,6.1,70.7,Pass
265,English,3.4,77.6,Pass
266,Biology,4.7,63,Pass
267,Biology,3.3,50.5,Pass
268,Math,3.6,52.7,Pass
269,English,3.7,52.2,Pass
270,Math,12.3,100,Pass
271,Biology,4.5,56.8,Pass
272,English,5.4,68.1,Pass
273,Math,4,83,Pass
274,Chemistry,0,47.2,Fail
275,Biology,3.3,44.3,Fail
276,Biology,1.1,29.2,Fail
277,Math,6.2,81.4,Pass
278,Physics,4.4,65.7,Pass
279,Physics,4.1,63.8,Pass
280,English,3.7,53.3,Pass
281,Math,5.6,84.5,Pass
282,Chemistry,9.2,97.3,Pass
283,Chemistry,5.8,93.4,Pass
284,English,6.1,74.9,Pass
285,Biology,5.5,86.1,Pass
286,Math,4.4,48.2,Fail
287,Math,3.3,62,Pass
288,English,7.3,90.8,Pass
289,Chemistry,2.7,67.2,Pass
290,Math,2.1,37.5,Fail
291,Math,6.2,78,Pass
292,Biology,3.9,67.3,Pass
293,Physics,4.3,55.6,Pass
294,Physics,3.4,58.9,Pass
295,Chemistry,6.9,82.2,Pass
296,Chemistry,7,68.5,Pass
297,Biology,5.7,67,Pass
298,Biology,5.8,59.4,Pass
299,Physics,4.1,47.7,Fail
300,English,2.5,55.3,Pass
