house_id,size_sqft,bedrooms,age_years,distance_to_city_km,price_lakhs
1,1954,4,6,13.8,91.94
2,2304,2,16,6.7,108.99
3,1850,4,10,10.3,96.54
4,1013,4,0,7.4,67.91
5,1194,1,17,2.2,57.59
6,1797,2,10,17.3,82.49
7,1980,4,0,8.2,107.87
8,1071,2,15,8.8,56.99
9,693,2,8,11,38.85
10,1810,3,19,3.3,88.35
11,1580,3,16,16,68.04
12,1373,3,27,3.2,76.76
13,1737,4,0,5.3,99.2
14,1719,3,1,2.7,94.61
15,400,3,5,10.8,36.22
16,2217,3,22,9.4,116.59
17,1669,1,5,11.3,80.69
18,1472,3,20,18.3,58.96
19,892,4,11,23.3,40.07
20,1367,4,17,7.4,68
21,1472,4,14,13.8,80.68
22,1434,4,6,7.4,79.98
23,1706,2,13,7.1,88.87
24,1395,5,6,15.4,75.85
25,2075,1,16,13.8,93.93
26,1731,3,22,1.2,87.23
27,2007,3,16,12.2,98.86
28,520,4,5,9.9,31.18
29,1858,2,9,2.9,103.05
30,820,2,4,11.1,45.8
31,2161,3,13,10.6,115.29
32,1109,3,14,2.3,60.63
33,1490,3,18,16.1,72.22
34,1085,2,14,8.3,56.05
35,1427,3,9,16.4,78.18
36,1374,3,13,8.2,83.39
37,818,3,24,4.1,52.05
38,1908,5,0,13.3,107.72
39,1749,4,7,11.9,91.64
40,1654,3,11,8.9,83.3
41,1394,4,20,0.5,81.46
42,1541,3,23,12.4,79.73
43,1139,4,19,13.1,47.53
44,950,2,6,3.8,57.04
45,1780,3,3,3.5,104.19
46,2140,3,16,5.5,110.87
47,1968,1,16,12.8,84.91
48,2116,4,2,21.6,105.89
49,1044,4,0,13.1,65.69
50,1429,3,14,12.7,74.67
51,2089,4,8,4.8,118.18
52,2388,3,11,8.9,119.5
53,1585,2,17,6.5,85.71
54,1172,3,5,3.7,80.21
55,1587,3,0,0.5,86.38
56,1807,4,19,11,94.28
57,1899,4,18,15.9,89.4
58,1400,3,18,6.9,81.62
59,884,4,30,8.5,52.17
60,1760,3,4,12.8,95.15
61,1775,4,16,19.3,84.78
62,1035,3,8,4.2,58.05
63,1766,2,24,14.1,77.43
64,807,5,25,12.9,45.65
65,1878,5,7,0.5,121.27
66,1567,2,16,4.6,86.03
67,1091,2,7,11.8,67.42
68,1602,3,12,1.6,85.83
69,1268,3,0,13.7,73.89
70,1579,3,26,10.6,88.64
71,1793,3,14,10.1,88.35
72,1350,4,15,1,69.91
73,1572,4,6,4.2,95.83
74,1749,3,9,14.3,89.03
75,1366,3,17,0.5,83.77
76,1386,3,11,5.5,78.06
77,1616,2,13,17.4,74.95
78,973,3,21,19.6,43.42
79,1437,2,27,3.3,70.02
80,2008,2,26,16,93.42
81,1291,2,11,6.5,77.59
82,2260,3,13,21.5,89.16
83,1709,2,21,18.1,72.46
84,1861,2,9,10.2,94.7
85,1260,3,4,16.1,67.82
86,1538,2,7,13.7,80.23
87,1192,2,19,7.3,64.72
88,2401,2,0,6.6,110.06
89,1667,3,13,8.2,88.91
90,1681,3,1,4.5,88.35
91,1749,3,18,23.3,87.46
92,1121,2,0,11.1,64.35
93,1560,2,10,3.4,86.52
94,770,3,19,9.1,49.91
95,1422,3,1,13.8,74.04
96,1613,4,6,14.9,81.44
97,1911,4,9,13.2,95.82
98,1985,5,4,11.2,113.46
99,1313,4,14,24.2,58.55
100,1703,3,9,9.4,95.22
101,2331,6,16,4.9,135.41
102,1598,3,19,11.9,88.14
103,2116,3,15,7.4,102.07
104,973,3,6,0.5,64.44
105,1239,2,7,4,74.13
106,2000,4,6,10.2,108.03
107,2214,3,23,6.5,111.31
108,1674,3,3,17.5,71.95
109,1756,4,14,23.2,71.67
110,2712,3,6,8.2,127.98
111,1708,3,12,10,83.39
112,1551,3,12,3,82.02
113,1900,3,14,8.7,95.77
114,1436,3,15,5.8,67.01
115,1271,2,12,11.3,72.08
116,1580,3,10,14.8,76.89
117,2028,4,10,8.2,107.41
118,1165,1,9,19.4,48.06
119,1293,2,24,16.9,53.71
120,2290,3,17,6.8,113.3
121,1788,3,18,13.4,79.17
122,1624,4,6,9.5,100.05
123,1561,4,15,12.6,81.85
124,1094,3,6,2.2,75.88
125,1743,2,12,10.8,77.69
126,1695,3,27,3,87.62
127,1823,3,5,11.7,93.68
128,2211,3,20,12,100.28
129,1470,3,11,17.1,66.42
130,1434,4,5,11,84.41
131,1636,2,6,10.8,86.24
132,866,2,5,15,44.5
133,1663,2,12,1.7,83.82
134,1691,3,16,13.7,80.68
135,2939,3,13,6.7,148.79
136,596,4,16,1.9,50.21
137,1126,3,6,17.9,60.82
138,1633,2,21,8.3,77.27
139,1500,3,12,9.8,82.3
140,1376,2,3,6.6,80.15
141,1832,2,0,8.1,112.48
142,1621,3,3,11,91.03
143,1634,4,20,5,100.14
144,2009,2,18,5.1,87.88
145,1479,2,15,7.3,76.99
146,779,4,9,16.7,42.78
147,2011,4,11,0.5,108.21
148,1566,2,9,6.9,90.36
149,2850,3,20,15.9,128.97
150,1761,4,26,20.6,66.02
151,1507,4,25,0.5,78.19
152,1766,3,9,3.4,92.81
153,1882,4,13,0.5,96.12
154,1300,4,10,7.6,73.68
155,1586,4,11,13.7,80.76
156,1776,3,10,14.4,95.67
157,1461,5,18,22,76.16
158,1110,4,11,16.1,57.21
159,1833,3,34,6.2,91.72
160,2864,4,17,11.7,142.67
161,2004,4,3,18.4,108.57
162,1483,2,0,14.5,68.69
163,1774,3,12,4.4,90.46
164,993,3,15,6.4,45.13
165,1707,3,4,8.5,84.82
166,1404,3,7,14.9,68.34
167,2185,2,18,13.1,99.7
168,1520,2,16,1.4,80.99
169,1161,3,13,15.3,52.1
170,2300,2,14,13.8,109.01
171,1463,3,24,14.1,72.54
172,2086,2,11,10.7,95.76
173,830,3,18,1.3,58.07
174,602,1,18,8.6,43.01
175,1442,2,0,10.6,69.05
176,1481,3,14,13.6,75.9
177,1706,2,20,17.4,73.51
178,1653,3,12,16.2,77.86
179,1414,5,17,10.9,85.18
180,1826,2,5,16.7,91.59
181,2178,2,7,6.9,125.38
182,1805,2,2,12.5,97.24
183,1800,2,9,12.6,93.59
184,1650,4,10,2.2,99.53
185,1586,4,16,8.9,86.51
186,2349,3,3,19,117.77
187,1572,4,19,4.8,85.99
188,1495,3,24,1.2,86.7
189,2091,2,0,21.4,85.56
190,1973,4,15,9.9,93.81
191,1477,3,18,23.1,63.65
192,903,4,25,8.4,55.6
193,1524,3,11,22.5,71.27
194,1125,3,2,2.9,71.78
195,817,4,18,0.5,58.79
196,1784,4,13,0.5,105.33
197,1604,2,9,11.6,73.97
198,798,3,23,13.9,47.81
199,1800,3,10,13,88.81
200,1420,4,15,13.8,72.6
201,2213,2,8,20.8,106.79
202,1905,4,13,8.2,101.07
203,1576,2,1,10.9,81.95
204,1743,2,4,18.2,87.4
205,1364,4,27,18.3,65.17
206,1156,2,6,4.6,73.42
207,870,3,16,19.8,37.62
208,1373,2,17,14,62.92
209,1663,3,28,17.6,68.98
210,1336,3,11,10.7,67.79
211,1368,3,11,13.5,71.43
212,1351,1,8,3.6,69.24
213,1057,4,11,14.8,70.86
214,1133,2,15,13.1,56.31
215,2324,5,20,9.7,118.17
216,1947,2,17,5,97.33
217,1876,3,6,19.1,98.37
218,865,2,9,10.5,49.64
219,1090,2,16,8.7,66.33
220,1455,1,20,9.7,78.46
221,2117,5,12,12.9,109.28
222,1369,3,5,13.8,89.38
223,467,3,28,10.3,32.13
224,2294,2,17,4.8,117.35
225,1857,1,16,16.7,92.01
226,1474,4,18,11.6,72.4
227,759,2,8,16.3,41.57
228,1289,3,0,15.2,63.48
229,1453,3,12,17.5,63.62
230,2142,1,12,7,92.02
231,1845,4,22,20,80.92
232,1414,4,13,17.5,69.75
233,2193,4,6,16.9,113.95
234,1446,2,24,15,68.69
235,1233,3,1,8.3,62.3
236,1016,2,21,3,55.89
237,1704,3,0,6.5,101.26
238,1391,4,15,1.7,77.33
239,1353,3,4,0.5,93.16
240,1276,4,4,6,76.73
241,1829,4,17,24.3,83.21
242,1628,3,8,14.4,72.84
243,627,2,13,11.3,34.59
244,1619,3,22,10.6,75.49
245,2364,4,18,3.5,120.55
246,2006,4,3,10.3,109.08
247,1293,1,13,18,49.24
248,1408,2,0,6.3,77.31
249,956,4,14,0.5,63.72
250,1977,1,23,13,89.08
251,1683,5,0,7.5,88.31
252,1493,2,18,9,74.63
253,770,3,10,4.9,42.04
254,1393,2,11,12.3,64.15
255,2339,2,17,14.2,98.66
256,1779,2,0,4.9,96.91
257,1591,4,20,5.9,94.16
258,1296,3,13,4.9,75.46
259,674,3,14,7.4,41
260,943,5,13,11.9,50.47
261,1628,4,5,1.6,94.07
262,1702,3,17,0.5,93.88
263,1976,3,19,14,83.6
264,1132,2,18,21.6,40.55
265,1178,1,14,12.5,51.04
266,1329,3,9,9.8,72.58
267,1903,1,7,2.6,102.66
268,1284,3,17,3.2,69.84
269,1900,3,5,10,98.95
270,981,2,13,18.6,46.32
271,1127,4,19,9.4,72.77
272,1479,3,18,18.8,63.31
273,1530,3,7,5,89.16
274,1981,2,9,16.5,104.08
275,1994,2,18,15.3,91
276,1965,3,0,16.7,97.59
277,1853,3,20,11.6,90.24
278,1729,4,9,0.5,98.05
279,761,4,18,8.1,52.05
280,1645,3,13,3.1,85.44
281,982,3,25,5.5,47.26
282,1055,3,6,15.7,47.65
283,1954,3,10,12.5,107.65
284,1756,5,16,14.9,89.96
285,971,3,6,1.6,57.51
286,2285,4,14,8.4,122.06
287,1843,4,16,2.3,106.03
288,1264,5,19,14.9,62.53
289,1188,4,12,11,76.56
290,1239,2,23,11.3,53.42
