applicant_id,income_lakhs,credit_score,debt_ratio,approved
1,7.3,786,0.09,1
2,8.34,636,0.27,0
3,10.49,632,0.4,0
4,3.07,380,0.36,0
5,3.01,498,0.13,0
6,7.17,560,0.51,1
7,11.5,577,0.34,0
8,10.95,498,0.41,0
9,7.45,613,0.31,1
10,7.55,667,0.49,1
11,10.32,688,0.27,0
12,4.02,594,0.42,0
13,9.18,638,0.56,0
14,11.82,750,0.47,1
15,8.86,624,0.4,0
16,11.7,519,0.44,0
17,8.73,627,0.17,0
18,4.28,649,0.35,0
19,6.11,587,0.47,0
20,8.78,742,0.66,1
21,5.39,689,0.27,1
22,6.95,775,0.32,0
23,11.4,663,0.38,1
24,6.13,672,0.37,1
25,2.13,561,0.4,0
26,14.41,567,0.38,0
27,10.65,636,0.13,1
28,4.72,707,0.31,1
29,15.52,666,0.37,1
30,4.77,694,0.04,0
31,7.49,589,0.32,0
32,18.13,723,0.26,1
33,10.55,767,0.08,1
34,7.99,855,0.46,1
35,11.53,584,0.18,0
36,8.39,663,0.5,1
37,10.65,434,0.31,0
38,7.83,621,0.51,1
39,4.21,495,0.37,0
40,7.82,661,0.07,1
41,6.1,652,0.22,1
42,10.29,742,0.44,1
43,9.24,760,0.3,1
44,5.68,632,0.31,0
45,8.84,692,0.37,0
46,12.76,839,0.26,1
47,9.77,646,0.36,0
48,8.32,721,0.29,0
49,7.2,459,0.44,1
50,9.95,611,0.38,0
51,4.1,634,0.48,0
52,8.39,836,0.44,1
53,8.17,586,0.51,0
54,8.23,532,0.16,1
55,7.26,586,0.09,0
56,16.04,809,0.47,0
57,5.01,665,0.35,0
58,5.77,583,0.38,0
59,9.48,615,0.47,0
60,15.99,641,0.52,1
61,11.48,713,0.34,1
62,12.17,830,0.3,1
63,10.82,672,0.64,1
64,11.91,691,0.41,1
65,7.85,665,0.23,1
66,8.29,718,0.41,0
67,13.3,626,0.29,1
68,9.45,750,0.16,1
69,5.61,638,0.31,0
70,7.14,634,0.36,0
71,1.91,675,0.42,0
72,9.13,657,0.28,0
73,5.23,595,0.13,1
74,9.01,718,0.27,1
75,11.01,729,0.15,1
76,14.7,586,0,1
77,5.22,685,0.33,0
78,2.56,561,0.49,0
79,11.7,760,0.16,1
80,8.69,598,0.46,0
81,1,687,0.53,0
82,5.25,451,0.31,0
83,16.13,679,0.57,0
84,13.02,736,0.57,1
85,12.61,541,0.4,0
86,1,696,0.14,0
87,13.73,714,0.38,1
88,6.1,615,0.55,0
89,2.9,586,0.37,0
90,9.57,546,0.31,0
91,10.24,620,0.52,0
92,1,536,0.03,0
93,12.84,589,0.34,1
94,8.19,561,0.31,0
95,8.18,610,0.3,0
96,6.53,568,0.28,1
97,5.01,622,0.35,0
98,10.67,568,0.27,0
99,7.93,668,0.18,1
100,11.29,590,0.38,1
101,12.93,857,0.33,1
102,9.21,672,0.18,1
103,6.33,643,0.09,0
104,5.69,696,0.52,0
105,4.49,657,0.15,1
106,10.38,591,0.34,0
107,6.38,724,0.43,0
108,3.71,717,0.32,0
109,13.8,659,0.52,0
110,4.74,604,0.29,0
