region_id,avg_order_value,purchase_frequency
R1,85.98,3.98
R2,95.41,4.54
R3,147.1,5.53
R4,124.91,6.34
R5,137.99,6.47
R6,94.57,4.61
R7,59.13,3.07
R8,82.57,5.81
R9,116.03,4.04
R10,120.6,4.17
R11,151.81,6.03
R12,98.16,2.19
R13,137.2,5.57
R14,65.3,4.99
R15,145.18,6.61
R16,125.39,7.16
R17,126.87,3.23
R18,62.77,4.04
R19,121.3,4.44
R20,123.5,4
R21,321.47,3.37
R22,279.36,3.25
R23,264.22,1.84
R24,277.04,1.33
R25,309.4,1.96
R26,304.93,1.22
R27,334.92,0.5
R28,285.44,2.85
R29,301.15,2.68
R30,273.94,2
R31,260.21,3.42
R32,307.41,3.02
R33,295.04,0.5
R34,290.16,1.2
R35,329.95,1.27
R36,304.87,2.97
R37,288.58,2.35
R38,270.48,2.36
R39,284.18,2.08
R40,306.34,3.72
R41,82.76,7.75
R42,162.41,5.81
R43,95.8,7.09
R44,70.61,7.55
R45,57.83,6.89
R46,24.27,5.48
R47,65.31,6.42
R48,101.1,7.12
R49,69.85,7.53
R50,96.13,6.35
R51,56.37,7.34
R52,75.29,6.83
R53,85.18,7.76
R54,86.9,6.44
R55,21.15,5.94
R56,77.4,5.63
R57,90.6,8.34
R58,86.4,6.67
R59,67.6,6.18
R60,101.34,8.32
