sample_id,feature1,feature2,label
1,0.953,4.958,1
2,-1.954,-1.278,0
3,3.887,-2.619,1
4,-0.125,-2.124,0
5,-5.237,1.157,1
6,-0.592,2.423,0
7,-0.111,4.949,1
8,0.597,2.225,0
9,-5.365,1.021,1
10,1.748,0.975,0
11,-4.102,2.692,1
12,-1.502,1.306,0
13,-0.946,-5.394,1
14,0.61,-1.691,0
15,-3.438,-3.952,1
16,0.331,-1.803,0
17,4.913,-2.236,1
18,1.167,-1.173,0
19,2.661,-4.586,1
20,2.629,0.227,0
21,-1.976,4.627,1
22,2.036,1.118,0
23,-0.101,4.689,1
24,-0.206,-2.135,0
25,-4.865,-1.029,1
26,-1.871,-1.012,0
27,-4.808,-1.24,1
28,-1.74,-0.326,0
29,0.528,-4.962,1
30,-1.25,2.39,0
31,-4.124,2.526,1
32,1.718,-0.477,0
33,-0.177,-4.822,1
34,1.981,-0.906,0
35,-3.428,4.05,1
36,-2.21,1.192,0
37,0.521,-4.91,1
38,1.931,1.415,0
39,1.306,5.049,1
40,-1.526,1.757,0
41,-2.088,-4.533,1
42,1.977,-0.191,0
43,-0.225,-4.635,1
44,-0.698,-1.036,0
45,-2.855,4.923,1
46,1.546,-0.515,0
47,0.773,-5.22,1
48,1.244,2.266,0
49,3.983,-3.257,1
50,0.423,-2.45,0
51,3.864,-3.024,1
52,0.931,2.082,0
53,-0.788,5.159,1
54,2.061,0.051,0
55,-0.6,4.602,1
56,0.606,-1.544,0
57,-2.213,-4.104,1
58,0.478,1.449,0
59,-4.413,0.109,1
60,-1.219,0.361,0
61,-4.631,-0.014,1
62,-1.827,0.791,0
63,-3.007,3.689,1
64,1.975,0.891,0
65,3.283,3.488,1
66,2.445,1.359,0
67,3.107,3.45,1
68,-2.113,1.688,0
69,-1.61,-3.88,1
70,0.253,1.693,0
71,5.306,-1.394,1
72,-1.01,-2.139,0
73,3.76,3.025,1
74,-2.461,-0.291,0
75,4.883,-1.418,1
76,-0.329,-2.146,0
77,-4.925,2.235,1
78,0.211,-2.152,0
79,-4.263,1.607,1
80,1.063,-1.283,0
81,4.579,0.109,1
82,-2.251,0.054,0
83,-5.221,-0.147,1
84,1.802,1.471,0
85,-4.437,-0.919,1
86,1.667,0.048,0
87,4.263,3.361,1
88,1.037,-1.09,0
89,-4.973,1.162,1
90,-1.034,1.805,0
91,4.594,1.786,1
92,2.204,-0.501,0
93,-1.91,-5.119,1
94,0.558,2.028,0
95,-3.568,-3.089,1
96,0.942,1.393,0
97,1.454,4.342,1
98,0.233,-1.531,0
99,0.402,5.07,1
100,0.631,-1.806,0
101,-4.691,-2.606,1
102,-0.346,-2.09,0
103,-4.944,-0.284,1
104,-2.337,0.058,0
105,5.588,0.172,1
106,-1.99,1.075,0
107,2.362,-4.812,1
108,-1.273,-0.38,0
109,-1.476,4.818,1
110,-1.221,-1.266,0
111,0.177,4.72,1
112,0.112,-2.407,0
113,3.178,-3.382,1
114,-1.35,-0.715,0
115,3.97,0.091,1
116,2.349,-1.065,0
117,3.059,-3.224,1
118,-1.527,-1.513,0
119,-3.03,3.786,1
120,-1.667,-2.412,0
121,-5.015,-0.623,1
122,-0.896,1.434,0
123,5.079,-1.308,1
124,1.942,0.78,0
125,5.305,-1.074,1
126,-1.638,0.183,0
127,4.362,-0.962,1
128,-2.009,-1.579,0
129,-2.279,-4.53,1
130,0.651,-2.091,0
131,-4.81,1.858,1
132,-2.359,0.368,0
133,-0.057,-4.373,1
134,0.999,2.108,0
135,-4.75,1.887,1
136,2.254,0.266,0
137,4.813,1.997,1
138,-1.552,1.131,0
139,-3.763,2.334,1
140,2.918,0.847,0
141,1.08,4.309,1
142,1.409,-0.461,0
143,3.087,-4.472,1
144,-1.728,-0.474,0
145,1.301,5.244,1
146,-0.411,1.996,0
147,-3.834,-3.509,1
148,-1.078,-0.148,0
