student_id,math_score,science_score,english_score,attendance_pct,study_hours,extracurricular_hours
1,81.3,91.4,75.4,68.9,9.8,7.5
2,59.8,63.6,66.4,76.5,3.4,9.4
3,65.7,66.5,82.7,70.3,5.6,9.5
4,63,58.6,61.3,68.6,6.5,6.5
5,63.7,59.1,72.2,61.8,5.5,6
6,73.8,74.7,84.7,68.9,8.6,4.4
7,59.1,58.3,70.5,67.7,6.2,8
8,91,90.9,82.7,87.3,8.2,5.9
9,61.3,68.3,95.9,67.5,6.9,8
10,46.9,58.5,42.2,53.9,4.2,7.5
11,50.1,65.2,76,69.4,6.6,8.3
12,81.5,82.1,80.2,65,7.9,6.6
13,61.4,64.8,76.1,58.2,6.8,7.2
14,65.3,81.3,79.5,82.9,7.7,9.4
15,59,56.1,73.1,54.9,4.7,6.6
16,84.8,73.8,87.8,68.3,8.7,7.3
17,62.7,74.7,77.5,64.4,7.7,5.4
18,81.7,96.5,81.8,67.6,7.9,5
19,68.5,74.4,82.5,68.8,7.1,5.3
20,70.9,72.8,76.8,74.5,9.2,3.6
21,64.8,64.3,62.9,77.8,6.3,7.1
22,57.5,54.3,52.3,51.8,3.4,8.3
23,86.1,83.6,75,72.7,9.5,6.7
24,64.5,62.3,73,61.4,7.2,7.6
25,77.8,77.7,73.9,71.4,6.3,6.6
26,50.8,53.3,67.6,61.7,5.1,7.1
27,81.8,87,87,80.2,9.6,7.3
28,65.4,72.3,86.3,75.8,7.6,5.4
29,84.7,82.7,90.3,70.3,6.1,5
30,62.2,59,59.7,62,4,5.7
31,77.4,89.4,93.5,68.5,9.7,7.1
32,72.9,78.3,82.4,75.7,7.2,9
33,56.2,72.5,76.4,59.3,7.2,4.1
34,72.7,72.9,62.6,54.9,7.2,6.8
35,70.7,70.2,67.7,77.8,6.7,9.7
36,67.5,70.6,65.1,54,8.1,5.8
37,63.9,70.4,73.8,70.4,4.4,6.7
38,40.7,53.6,62,50.4,8.4,9.1
39,64.8,59.2,81,68,5.3,5.3
40,56.6,63.3,56,79,5.8,6
41,85.7,65.9,80.9,59.2,6,6.3
42,95.7,93.7,96.8,87.4,8.5,5.5
43,73.7,83.5,85.5,52.6,5.4,6.4
44,61,71.8,81.4,48.5,7.2,8.6
45,69.3,71.4,90.3,81.6,9.4,5.8
46,73.1,74.7,78.8,76.5,8,10.7
47,69.7,75.4,73.2,60.6,4.2,6
48,59.5,63.1,78.5,54.4,6.7,8
49,56.7,53.1,70.1,47.7,6.5,2.7
50,86.2,90.6,87.1,80.3,11.2,6.2
51,62,65.5,76.9,64.7,6.1,7.7
52,78,76.8,83.8,76.6,7.2,7
53,84,85.1,76.7,71.6,2.3,6.3
54,61.2,68.5,65.7,64.6,7.8,2.5
55,59,64,76.2,64.4,4.6,4.1
56,51.1,55.8,69.4,61.4,6,7.6
57,73.4,77.5,90.4,79.4,4.5,8.2
58,68.7,66.6,66.1,56.6,7.8,10.5
59,74.9,79.5,92.9,70.1,7.5,4.3
60,89.6,88.2,96,75.5,8.4,8.4
61,60.9,53.5,70.2,58,5.7,6.9
62,51.9,59,61,61.5,4.8,3.5
63,42.2,35.3,63.8,52.6,5.5,5.5
64,82.4,74.8,78.8,61.7,4.8,5.2
65,69.4,66.4,82.6,67,8.2,6.7
66,70,56.2,87.1,69.4,7.2,1.9
67,89.1,90.2,81.2,70.5,7.6,3.9
68,61,61.3,85.9,64,5.7,6.5
69,51.8,52.6,60.2,57.6,3.9,2.9
70,83.5,81,92.2,64.5,8.9,8.7
71,68.5,66.2,62.2,76.3,4.2,9.5
72,81.5,80.7,98.6,74,7.6,6.7
73,55.2,55,79.7,59.2,3.5,7.3
74,61.2,84.8,79.3,64.7,5.6,6
75,76.3,80.2,72.7,76.4,8.9,5
76,62.5,72.2,64.4,61.8,4.8,6.5
