student_id,study_hours,attendance_pct,sleep_hours,previous_score,final_score
1,6.4,93.2,6.7,62.3,91.7
2,2,65.7,7.9,81.4,56
3,5.6,59.5,7.2,71.5,69.5
4,5,74.2,7.7,66.1,67.9
5,4.5,79.1,7.7,88.3,79.1
6,7.9,75.4,6,69.1,95.8
7,5.6,100,6.6,57.5,80.3
8,2.8,84.2,6.9,80.3,62
9,2.7,92,7.3,77.4,71.5
10,6.4,73.2,8.1,92,83.4
11,5.9,70.5,7.4,89.9,84
12,7.2,100,6.5,71.7,100
13,4.9,96.3,4.8,61.1,76.4
14,5.1,77.3,5.3,71.5,83.6
15,4.8,95.2,7.4,65.8,80.5
16,6.9,71.8,6.2,40.5,78.8
17,5.8,76.2,5.3,78.5,79
18,2.2,100,5.6,75,69.1
19,3.5,71.9,5,70.3,69.6
20,6.2,73.8,6.7,98.4,89.2
21,5.3,71.3,5.8,73.2,83.8
22,2.6,95,6.9,46.6,63
23,9.1,76,7.1,58.6,98
24,5.4,94,5.6,81.4,80.1
25,7.3,70.9,7.5,66.9,76.6
26,5,83,7.8,77.3,80.4
27,7,78,5.6,70.4,96.8
28,6.3,73.5,8.1,64.3,64.7
29,7.5,72.5,4,73.7,91.6
30,5.9,73.1,5.6,68.4,77.1
31,4.2,91.1,6.4,60.4,66.5
32,4.8,83.4,9.3,67,69.1
33,6,98.1,8.5,46,81.7
34,5,73.1,4.6,58.9,73.9
35,5.1,75.1,7.8,83.2,65.6
36,7.9,70.6,6.5,73.1,94.2
37,2.4,95.6,5.7,82.5,68.9
38,6.6,76.2,7,60.4,79.6
39,2.8,64.7,7.2,69.6,63.4
40,2.1,92.3,5.5,50.8,62.3
41,3.3,93.5,8.4,79.3,67.4
42,3.2,80.5,7.2,76.6,63.4
43,5.2,86.1,8,50.5,66.8
44,2.4,85,8.7,55.2,53
45,2.6,76.3,6.9,58.9,59
46,3.1,76.2,5.4,59.4,64.6
47,9,94.8,6,44.6,95.8
48,4.5,72.1,7.7,80.9,66.8
49,4,83.2,5.1,81.2,70.8
50,2.4,90.5,6.1,65,59.4
51,5.6,82.9,6.1,69,79.4
52,4.5,77.8,7.7,52.6,68.4
53,3.7,99.7,5.2,39,67.9
54,5.2,79.4,6.3,78.4,74.8
55,4.3,94.9,7.2,74,71.8
56,7.6,66.9,7.6,62.6,74.3
57,2.5,59.8,7.1,71.1,54.8
58,5.4,100,7.6,61.5,73.3
59,2.2,81.5,6.6,31.4,42.8
60,4.2,99,7.6,92.8,66.7
61,1.7,64.1,8.5,44.3,37.6
62,7.3,76,6,83.3,95.4
63,4.9,64.6,5.7,44.2,63
64,1.6,90.1,7.7,64.8,60.2
65,3.1,87,7.2,84.4,63.7
66,1,83.9,8.2,80.9,52.8
67,6.2,84.7,7.6,61.5,76
68,6.9,74.3,6.8,37.5,79.9
69,6.7,60.6,4.9,56.7,82.4
70,6.6,72.1,6.4,47.1,71.2
71,3.8,92.3,7,55.6,78.3
72,8.8,84.3,6.7,64.3,94.7
73,7.3,82.4,5.8,52.5,85.6
74,4.3,74.9,6.5,77.6,75.3
75,4.3,72.8,6.6,84.1,63.2
76,5.8,67.6,8.7,91.9,85.3
77,3.9,66.3,6.8,54.8,65.1
78,7.7,74.6,7.4,64.4,86.6
79,4.4,77,6.2,71.8,75.7
80,6.3,75.5,7.1,75.5,84.4
81,2.9,64.2,5.3,75.7,54.1
82,3.5,99.3,8.7,68.5,66
83,1.6,78.5,5.6,54.5,49.8
84,5.5,78.3,7.4,70.8,76.4
85,5.1,92.6,7.2,80.6,81.5
86,3.5,96.1,5.6,59.5,67.4
87,2.9,81.1,5.6,57.5,64.2
88,4.9,68.3,7.9,84,66.4
89,1.9,88.9,8.3,46,50.4
90,3.6,95.1,5.1,42.3,69
91,7.5,90,8.4,67.4,96.2
92,3.9,97.2,7,73.2,80.2
