day,true_weather,activity
1,Sunny,Walk
2,Rainy,Clean
3,Sunny,Walk
4,Sunny,Walk
5,Sunny,Walk
6,Rainy,Clean
7,Rainy,Shop
8,Rainy,Clean
9,Sunny,Walk
10,Rainy,Clean
11,Rainy,Shop
12,Sunny,Walk
13,Sunny,Walk
14,Sunny,Walk
15,Sunny,Walk
16,Sunny,Walk
17,Sunny,Walk
18,Sunny,Walk
19,Sunny,Shop
20,Sunny,Walk
21,Sunny,Shop
22,Sunny,Walk
23,Rainy,Shop
24,Sunny,Shop
25,Sunny,Walk
26,Rainy,Clean
27,Rainy,Clean
28,Sunny,Shop
29,Rainy,Clean
30,Rainy,Shop
31,Sunny,Walk
32,Sunny,Walk
33,Sunny,Shop
34,Sunny,Walk
35,Sunny,Shop
36,Sunny,Shop
37,Rainy,Walk
38,Rainy,Shop
39,Sunny,Clean
40,Sunny,Walk
41,Sunny,Walk
42,Rainy,Clean
43,Sunny,Shop
44,Sunny,Walk
45,Sunny,Clean
46,Rainy,Clean
47,Sunny,Walk
48,Sunny,Walk
49,Sunny,Shop
50,Sunny,Shop
51,Sunny,Walk
52,Rainy,Clean
53,Sunny,Walk
54,Rainy,Clean
55,Sunny,Walk
56,Sunny,Walk
57,Rainy,Shop
58,Sunny,Shop
59,Sunny,Walk
60,Sunny,Walk
61,Sunny,Walk
62,Sunny,Walk
63,Rainy,Clean
64,Sunny,Walk
65,Sunny,Walk
66,Rainy,Clean
67,Sunny,Shop
68,Rainy,Walk
69,Sunny,Walk
70,Sunny,Walk
71,Sunny,Walk
72,Rainy,Clean
73,Sunny,Walk
74,Sunny,Walk
75,Rainy,Clean
76,Rainy,Shop
77,Sunny,Walk
78,Rainy,Clean
79,Rainy,Shop
80,Rainy,Clean
81,Sunny,Shop
82,Rainy,Shop
83,Rainy,Clean
84,Sunny,Walk
85,Sunny,Walk
86,Sunny,Walk
87,Sunny,Walk
88,Sunny,Walk
89,Sunny,Walk
90,Sunny,Walk
91,Sunny,Walk
92,Sunny,Shop
93,Sunny,Walk
94,Rainy,Clean
95,Sunny,Walk
96,Sunny,Walk
97,Sunny,Shop
98,Sunny,Shop
99,Sunny,Shop
100,Rainy,Clean
101,Rainy,Clean
102,Rainy,Shop
103,Sunny,Shop
104,Rainy,Clean
105,Rainy,Clean
106,Sunny,Shop
107,Sunny,Walk
108,Rainy,Clean
109,Sunny,Shop
110,Rainy,Clean
111,Sunny,Shop
112,Sunny,Walk
113,Rainy,Shop
114,Rainy,Shop
115,Sunny,Walk
116,Sunny,Walk
117,Sunny,Shop
118,Sunny,Shop
119,Rainy,Walk
120,Sunny,Walk
121,Sunny,Walk
122,Sunny,Shop
123,Sunny,Walk
124,Sunny,Clean
125,Sunny,Walk
126,Rainy,Shop
127,Sunny,Walk
128,Sunny,Clean
129,Sunny,Walk
130,Sunny,Walk
131,Rainy,Shop
132,Rainy,Walk
133,Sunny,Shop
134,Sunny,Walk
135,Rainy,Clean
136,Rainy,Clean
137,Sunny,Shop
138,Rainy,Shop
139,Rainy,Shop
140,Sunny,Shop
141,Rainy,Clean
142,Sunny,Walk
143,Sunny,Shop
144,Rainy,Clean
145,Sunny,Clean
146,Sunny,Shop
147,Sunny,Walk
148,Rainy,Shop
149,Sunny,Shop
150,Sunny,Walk
151,Sunny,Shop
152,Sunny,Walk
153,Rainy,Clean
154,Sunny,Walk
155,Sunny,Shop
156,Rainy,Walk
157,Sunny,Shop
158,Rainy,Shop
159,Rainy,Shop
160,Rainy,Shop
161,Rainy,Clean
162,Sunny,Shop
163,Sunny,Walk
164,Sunny,Walk
165,Sunny,Shop
166,Sunny,Walk
167,Rainy,Shop
168,Rainy,Walk
169,Rainy,Clean
170,Rainy,Shop
171,Sunny,Walk
172,Rainy,Shop
173,Sunny,Walk
174,Sunny,Shop
175,Sunny,Walk
176,Sunny,Clean
177,Rainy,Walk
178,Sunny,Walk
179,Sunny,Walk
180,Sunny,Walk
181,Rainy,Clean
182,Rainy,Clean
183,Sunny,Walk
184,Sunny,Shop
185,Rainy,Shop
186,Rainy,Clean
187,Sunny,Walk
188,Sunny,Walk
189,Sunny,Walk
190,Rainy,Clean
191,Rainy,Clean
192,Sunny,Walk
193,Sunny,Clean
194,Rainy,Clean
195,Sunny,Shop
196,Sunny,Clean
197,Sunny,Walk
198,Rainy,Clean
199,Sunny,Shop
200,Sunny,Shop
201,Sunny,Shop
202,Sunny,Shop
203,Sunny,Walk
204,Sunny,Clean
205,Rainy,Walk
206,Rainy,Shop
207,Sunny,Shop
208,Sunny,Walk
209,Sunny,Clean
210,Sunny,Walk
211,Sunny,Shop
212,Sunny,Walk
213,Sunny,Walk
214,Rainy,Clean
215,Sunny,Walk
216,Sunny,Shop
217,Rainy,Shop
218,Rainy,Clean
219,Sunny,Shop
220,Sunny,Walk
221,Rainy,Clean
222,Sunny,Shop
223,Sunny,Shop
224,Rainy,Clean
225,Sunny,Shop
226,Sunny,Walk
227,Rainy,Walk
228,Sunny,Shop
229,Rainy,Clean
230,Sunny,Clean
231,Sunny,Shop
232,Sunny,Walk
233,Sunny,Walk
234,Sunny,Walk
235,Sunny,Walk
236,Sunny,Walk
237,Sunny,Walk
238,Sunny,Walk
239,Sunny,Walk
240,Sunny,Walk
241,Rainy,Shop
242,Sunny,Shop
243,Sunny,Walk
244,Sunny,Walk
245,Sunny,Shop
246,Rainy,Clean
247,Sunny,Walk
248,Sunny,Walk
249,Sunny,Shop
250,Sunny,Walk
251,Rainy,Shop
252,Rainy,Clean
253,Sunny,Shop
254,Sunny,Shop
255,Sunny,Walk
256,Sunny,Shop
257,Rainy,Clean
258,Sunny,Walk
259,Sunny,Clean
260,Sunny,Walk
261,Rainy,Clean
262,Rainy,Clean
263,Rainy,Clean
264,Rainy,Shop
265,Sunny,Walk
266,Sunny,Walk
267,Sunny,Clean
268,Rainy,Shop
269,Rainy,Shop
270,Rainy,Walk
271,Sunny,Walk
272,Rainy,Walk
273,Rainy,Shop
274,Sunny,Walk
275,Rainy,Clean
276,Sunny,Walk
277,Rainy,Shop
278,Sunny,Shop
279,Sunny,Clean
280,Rainy,Clean
281,Rainy,Clean
282,Rainy,Clean
283,Sunny,Walk
284,Sunny,Walk
285,Rainy,Clean
286,Sunny,Shop
287,Rainy,Clean
288,Sunny,Shop
289,Rainy,Shop
290,Rainy,Clean
291,Sunny,Clean
292,Sunny,Clean
293,Rainy,Clean
294,Sunny,Clean
295,Rainy,Shop
296,Rainy,Clean
297,Sunny,Shop
298,Sunny,Shop
299,Rainy,Clean
300,Rainy,Shop
